Year,Month,Day,TradingPeriod,PrevAvg$PerMWHr,PrevMed$PerMWHr,SinPeriod,CosPeriod,SinDate,CosDate
2024,8,6,17,1077.445281564908,1077.566512455516,-0.9659258262890682,-0.2588190451025206,-0.8660254037844385,-0.5000000000000004
2024,8,10,41,672.0217289073306,672.0640207612457,-0.965925826289068,-0.2588190451025225,-0.8660254037844385,-0.5000000000000004
2024,7,30,11,510.9806085753803,510.76260899653977,0.258819045102521,-0.965925826289068,-0.4999999999999998,-0.8660254037844387
2024,8,6,31,657.8940733056708,657.7560069204153,0.9659258262890684,-0.2588190451025202,-0.8660254037844385,-0.5000000000000004
2024,8,7,43,905.1042797866036,905.1228647686831,-0.9659258262890684,0.2588190451025201,-0.8660254037844385,-0.5000000000000004
2024,8,13,19,486.6817249555424,486.7030071174377,-0.9659258262890684,0.2588190451025203,-0.8660254037844385,-0.5000000000000004
2024,7,28,41,492.2056846473029,492.2468149466192,-0.9659258262890678,-0.2588190451025225,-0.4999999999999997,-0.8660254037844388
2024,8,12,17,592.452704011065,592.4846920415225,-0.9659258262890684,-0.2588190451025206,-0.8660254037844385,-0.5000000000000004
2024,8,13,15,601.8381861292235,601.7226275207591,-0.7071067811865471,-0.7071067811865479,-0.8660254037844385,-0.5000000000000004
2024,8,5,27,881.6353289863664,881.6788967971531,0.7071067811865474,0.7071067811865477,-0.8660254037844385,-0.5000000000000004
2024,5,13,38,529.8509722222223,529.9772967338429,-0.4999999999999991,-0.8660254037844392,0.5,-0.8660254037844387
2024,7,13,21,469.9451867219917,469.9541696322657,-0.7071067811865477,0.7071067811865474,-0.4999999999999997,-0.8660254037844388
2024,8,3,21,839.1484923928077,839.1359031141868,-0.7071067811865477,0.7071067811865474,-0.8660254037844385,-0.5000000000000004
2024,8,10,23,822.7614107883817,822.7008725761773,-0.2588190451025215,0.965925826289068,-0.8660254037844385,-0.5000000000000004
2024,8,5,43,869.9015076071923,869.9009342560554,-0.9659258262890684,0.2588190451025201,-0.8660254037844385,-0.5000000000000004
2024,8,19,40,624.9901383125864,624.9556470588235,-0.8660254037844387,-0.4999999999999998,-0.8660254037844385,-0.5000000000000004
2024,8,12,16,614.3404860699467,614.3172953736655,-0.8660254037844385,-0.5000000000000004,-0.8660254037844385,-0.5000000000000004
2024,7,25,15,515.1684370677731,515.0434532871973,-0.7071067811865471,-0.7071067811865479,-0.4999999999999998,-0.8660254037844387
2024,8,10,9,761.5904840940526,761.5600830449828,0.7071067811865476,-0.7071067811865475,-0.8660254037844385,-0.5000000000000004
2024,8,19,38,735.8426721991701,735.8410880398671,-0.4999999999999991,-0.866025403784439,-0.8660254037844385,-0.5000000000000004
2024,8,13,31,578.2833135743924,578.147846975089,0.9659258262890684,-0.2588190451025202,-0.8660254037844385,-0.5000000000000004
2024,8,21,43,499.3337225844695,499.3860498220641,-0.9659258262890684,0.2588190451025201,-0.8660254037844385,-0.5000000000000004
2024,8,8,22,863.2995435684647,863.2913811007269,-0.5000000000000004,0.8660254037844384,-0.8660254037844385,-0.5000000000000004
2024,8,12,31,801.4935743924125,801.4913167259787,0.9659258262890684,-0.2588190451025202,-0.8660254037844385,-0.5000000000000004
2024,8,11,36,627.8289626556017,627.6817854671281,3.67394039744206e-16,-1.0,-0.8660254037844385,-0.5000000000000004
2024,8,13,38,686.9760096818811,686.9843806228374,-0.4999999999999991,-0.8660254037844393,-0.8660254037844385,-0.5000000000000004
2024,8,3,34,524.0502766251728,523.9662837370242,0.4999999999999998,-0.8660254037844387,-0.8660254037844385,-0.5000000000000004
2024,8,10,17,825.0793914246195,825.0480000000001,-0.9659258262890684,-0.2588190451025206,-0.8660254037844385,-0.5000000000000004
2024,2,7,36,689.434,689.5040563086549,3.673940397442059e-16,-1.0,0.8660254037844386,0.5000000000000001
2024,7,7,37,479.4892353289864,479.50308422301305,-0.2588190451025201,-0.9659258262890684,-0.4999999999999997,-0.8660254037844388
2024,8,8,33,896.746417704011,896.7555294117647,0.7071067811865471,-0.7071067811865479,-0.8660254037844385,-0.5000000000000004
2024,8,17,32,849.8153526970956,849.7925051903113,0.8660254037844393,-0.4999999999999992,-0.8660254037844385,-0.5000000000000004
2024,8,7,18,905.5536237897649,905.5934671280276,-1.0,-1.83697019872103e-16,-0.8660254037844385,-0.5000000000000004
2024,8,8,28,874.1974550484094,874.1975916955017,0.8660254037844385,0.5000000000000004,-0.8660254037844385,-0.5000000000000004
2024,7,30,42,622.0198814463545,622.0503736654804,-1.0,-4.286263797015736e-16,-0.4999999999999997,-0.8660254037844388
2024,8,11,32,478.4580221300139,478.3663667820069,0.8660254037844393,-0.4999999999999992,-0.8660254037844385,-0.5000000000000004
2024,8,3,28,562.7151452282158,562.7462906574394,0.8660254037844385,0.5000000000000004,-0.8660254037844385,-0.5000000000000004
2024,7,4,18,475.367316735823,475.384740484429,-1.0,-1.83697019872103e-16,-0.4999999999999998,-0.8660254037844387
2024,8,14,12,669.0403023117962,668.9170106761567,1.2246467991473532e-16,-1.0,-0.8660254037844385,-0.5000000000000004
2024,8,21,13,562.0553526970955,561.849508650519,-0.2588190451025208,-0.9659258262890684,-0.8660254037844385,-0.5000000000000004
2024,8,8,11,761.7778492392807,761.7026989619377,0.258819045102521,-0.965925826289068,-0.8660254037844385,-0.5000000000000004
2024,3,20,16,463.316724447101,463.2637679425837,-0.8660254037844386,-0.5000000000000004,1.0,6.123233995736766e-17
2024,8,19,5,478.56527563722585,478.5310379596679,0.9659258262890682,0.2588190451025207,-0.8660254037844385,-0.5000000000000004
2024,8,8,45,849.8363139695714,849.823723183391,-0.7071067811865472,0.7071067811865478,-0.8660254037844385,-0.5000000000000004
2024,8,11,38,773.3373858921162,773.3816401384083,-0.4999999999999991,-0.8660254037844393,-0.8660254037844385,-0.5000000000000004
2024,8,11,48,581.2329529737206,581.3191211072665,-4.898587196589413e-16,1.0,-0.8660254037844385,-0.5000000000000004
2024,8,13,34,584.7939972337483,584.639723183391,0.4999999999999998,-0.8660254037844387,-0.8660254037844385,-0.5000000000000004
2024,8,14,11,690.7944042679312,690.6844128113878,0.258819045102521,-0.9659258262890682,-0.8660254037844385,-0.5000000000000004
2024,7,23,12,462.8788263189093,462.6912158956109,1.2246467991473532e-16,-1.0,-0.4999999999999997,-0.8660254037844388
2024,8,10,2,813.5914246196404,813.5776678200692,0.5,0.8660254037844387,-0.8660254037844385,-0.5000000000000004
2024,8,12,47,511.2129282750444,511.2106346381969,-0.2588190451025209,0.9659258262890682,-0.8660254037844385,-0.5000000000000004
2024,7,15,24,549.0238934993084,549.0289134948097,-2.4492935982947064e-16,1.0,-0.4999999999999998,-0.8660254037844387
2025,2,24,24,1384.973867768595,1385.9188337468984,-2.4492935982947064e-16,1.0,0.8660254037844385,0.5000000000000001
2024,8,12,29,674.1956068464731,674.1838142189932,0.9659258262890684,0.2588190451025207,-0.8660254037844385,-0.5000000000000004
2024,8,13,7,522.6720746887967,522.4716666666667,0.9659258262890684,-0.2588190451025206,-0.8660254037844385,-0.5000000000000004
2024,8,1,48,656.2766508595139,656.2891518386714,-4.898587196589413e-16,1.0,-0.8660254037844385,-0.5000000000000004
2024,8,10,43,829.6676625172892,829.6437508650519,-0.9659258262890684,0.2588190451025201,-0.8660254037844385,-0.5000000000000004
2023,6,15,19,1691.4816078900178,1692.2007236842103,-0.9659258262890684,0.2588190451025203,1.2246467991473532e-16,-1.0
2024,8,14,36,586.872252519265,586.7203558718861,3.673940397442059e-16,-1.0,-0.8660254037844385,-0.5000000000000004
2024,8,20,39,639.5922060857538,639.6060207612456,-0.7071067811865466,-0.7071067811865485,-0.8660254037844385,-0.5000000000000004
2024,7,30,34,688.5638174273859,688.4481799307958,0.4999999999999998,-0.8660254037844387,-0.4999999999999998,-0.8660254037844387
2024,8,3,32,513.0308239478364,512.9845017793594,0.8660254037844392,-0.4999999999999991,-0.8660254037844385,-0.5000000000000004
2024,8,10,1,829.0978008298755,829.0686435986158,0.2588190451025207,0.9659258262890684,-0.8660254037844385,-0.5000000000000004
2024,5,10,36,2892.159493055556,2891.798005559416,3.673940397442059e-16,-1.0,0.5,-0.8660254037844387
2024,7,30,16,467.83076763485474,467.7402422145329,-0.8660254037844385,-0.5000000000000004,-0.4999999999999998,-0.8660254037844387
